latitude,longitude,hour,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_rush_hour,is_weekend,is_holiday,temp,has_snow,has_rain,temp_category,is_freezing,is_hot,humidity,wind_speed,feels_like,is_cbd
40.824783,-73.944216,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.817894,-73.947649,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.811109,-73.952343,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.805085,-73.954882,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.800603,-73.958161,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.796092,-73.961454,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.791642,-73.964696,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.785868,-73.968916,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.781433,-73.972143,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.775594,-73.97641,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
40.762456,-73.985984,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.752287,-73.993391,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.745906,-73.998041,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.732338,-74.000495,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.726227,-74.003739,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.720824,-74.005229,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,1
40.830135,-73.938209,14,3,7,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0,0,0,27.5,0,0,3,0,0,52,3.2,29.0,0
